timestamp,direction,srcIP,srcPort,dstIP,dstPort,packetsize,frac
1413296664.748541,c2s,10.0.2.15,37064,74.125.228.193,443,187,0.0
1413296664.780461,s2c,74.125.228.193,443,10.0.2.15,37064,1430,0.0174668410237
1413296664.780839,s2c,74.125.228.193,443,10.0.2.15,37064,2492,0.151036801793
1413296664.784257,c2s,10.0.2.15,37064,74.125.228.193,443,162,0.383803474687
1413296664.817537,s2c,74.125.228.193,443,10.0.2.15,37064,348,0.398935176537
1413296664.887517,c2s,10.0.2.15,37064,74.125.228.193,443,65,0.431440313843
1413296664.887656,c2s,10.0.2.15,37064,74.125.228.193,443,673,0.437511675696
1413296665.004283,s2c,74.125.228.193,443,10.0.2.15,37064,250,0.500373622268
1413296665.004581,s2c,74.125.228.193,443,10.0.2.15,37064,1418,0.523725014011
1413296665.005068,c2s,10.0.2.15,37064,74.125.228.193,443,41,0.656174107977
1413296672.987196,c2s,10.0.2.15,37064,74.125.228.193,443,1432,0.660003736223
1413296673.042651,s2c,74.125.228.193,443,10.0.2.15,37064,1776,0.793760508126
1413296673.044417,c2s,10.0.2.15,37064,74.125.228.193,443,41,0.959648795068
1413296732.004280,c2s,10.0.2.15,37064,74.125.228.193,443,41,0.963478423314
1413296732.037225,s2c,74.125.228.193,443,10.0.2.15,37064,41,0.96730805156
1413296790.327131,c2s,10.0.2.15,37064,74.125.228.193,443,41,0.971137679806
1413296790.359425,s2c,74.125.228.193,443,10.0.2.15,37064,41,0.974967308052
1413296849.344842,c2s,10.0.2.15,37064,74.125.228.193,443,41,0.978796936297
1413296849.378906,s2c,74.125.228.193,443,10.0.2.15,37064,65,0.982626564543
1413296849.379874,s2c,74.125.228.193,443,10.0.2.15,37064,45,0.988697926396
1413296849.380052,c2s,10.0.2.15,37064,74.125.228.193,443,45,0.99290117691
1413296849.380482,c2s,10.0.2.15,37064,74.125.228.193,443,31,0.997104427424
